,az
5.316734313964844e-05,0.021728515625
0.002360820770263672,0.016357421875
0.004352092742919922,0.022705078125
0.006254911422729492,0.022216796875
0.008244037628173828,0.019775390625
0.010048151016235352,0.0185546875
0.012139081954956055,0.01416015625
0.014055967330932617,0.017822265625
0.01607513427734375,0.01513671875
0.0180208683013916,0.01708984375
0.019869089126586914,0.011962890625
0.021785974502563477,0.01904296875
0.02434396743774414,0.01904296875
0.026320934295654297,0.02001953125
0.028257131576538086,0.010986328125
0.03005385398864746,0.021484375
0.03206515312194824,0.020263671875
0.03398895263671875,0.01953125
0.03598284721374512,0.015625
0.03793787956237793,0.023193359375
0.0397341251373291,0.019775390625
0.04165315628051758,0.020263671875
0.043580055236816406,0.021240234375
0.04559183120727539,0.023193359375
0.047406911849975586,0.01611328125
0.04936790466308594,0.0224609375
0.051277875900268555,0.020751953125
0.05306506156921387,0.025634765625
0.055126190185546875,0.0244140625
0.05707097053527832,0.025634765625
0.059005022048950195,0.02685546875
0.06080913543701172,0.024658203125
0.06281304359436035,0.031005859375
0.06471991539001465,0.061767578125
0.06675386428833008,0.000244140625
0.06853413581848145,0.033203125
0.07054901123046875,0.035888671875
0.07247018814086914,0.0322265625
0.07439589500427246,0.03662109375
0.07638192176818848,0.032958984375
0.0782160758972168,0.03466796875
0.08012795448303223,0.033447265625
0.08208179473876953,0.03759765625
0.08392786979675293,0.038818359375
0.08594584465026855,0.039794921875
0.08785581588745117,0.037841796875
0.08977794647216797,0.0361328125
0.09156584739685059,0.03125
0.0935671329498291,0.041748046875
0.09577393531799316,0.0400390625
0.09775400161743164,0.039306640625
0.09968996047973633,0.04150390625
0.10174083709716797,0.045166015625
0.1037130355834961,0.04248046875
0.10567784309387207,0.037841796875
0.10770201683044434,0.042236328125
0.10962390899658203,0.0390625
0.11156487464904785,0.0439453125
0.1136319637298584,0.043212890625
0.11564898490905762,0.042236328125
0.11752200126647949,0.04345703125
0.11952805519104004,0.044189453125
0.12143802642822266,0.0390625
0.1233978271484375,0.03857421875
0.12604498863220215,0.03955078125
0.1280651092529297,0.044921875
0.1299757957458496,0.042724609375
0.1319279670715332,0.04248046875
0.13377809524536133,0.0478515625
0.13584113121032715,0.0517578125
0.1379239559173584,0.046875
0.1398448944091797,0.049072265625
0.14178991317749023,0.04541015625
0.1438758373260498,0.046875
0.14595890045166016,0.045166015625
0.14792609214782715,0.0556640625
0.14972996711730957,0.049560546875
0.15173697471618652,0.050048828125
0.15364694595336914,0.046875
0.1556990146636963,0.053466796875
0.1577920913696289,0.04833984375
0.15992307662963867,0.049072265625
0.16201305389404297,0.057373046875
0.1639549732208252,0.05419921875
0.16602802276611328,0.059814453125
